Date,Price,Open,High,Low,Vol.,Change %,Monthly Return
2014-06-30,29652.53,29446.02,29722.12,29330.21,125.57M,1.05%,-0.002863705956985929
2014-07-31,30314.07,30485.28,30494.01,30217.4,83.37M,-0.53%,0.022309732086941647
2014-08-31,28567.74,28338.48,28838.01,28242.81,143.74M,2.86%,-0.057607902864907246
2014-09-30,29726.39,29389.99,29745.11,29376.31,60.39M,1.17%,0.04055798603599725
2014-10-31,,,,,,,0.0
2014-11-30,,,,,,,0.0
2014-12-31,,,,,,,0.0
2015-01-31,,,,,,,0.0
2015-02-28,,,,,,,0.0
2015-03-31,30233.87,28921.76,30246.77,28921.76,190.79M,4.52%,0.017071699590834877
2015-04-30,33729.96,33475.95,33760.41,33475.95,143.91M,0.81%,0.1156348823356057
2015-05-31,33056.79,32763.48,33130.92,32763.48,189.13M,0.90%,-0.01995762817388458
2015-06-30,34398.86,34104.6,34444.19,34104.6,173.89M,0.90%,0.04059892082685579
2015-07-31,35741.52,35739.83,35824.62,35626.9,143.68M,0.03%,0.03903210745937491
2015-08-31,34726.51,34558.3,34810.75,34316.17,178.40M,0.81%,-0.028398624345019274
2015-09-30,32287.41,32285.82,32560.52,32050.87,130.42M,0.23%,-0.07023740652314336
2015-10-31,,,,,,,0.0
2015-11-30,,,,,,,0.0
2015-12-31,,,,,,,0.0
2016-01-31,,,,,,,0.0
2016-02-29,,,,,,,0.0
2016-03-31,33139.0,32910.47,33188.35,32910.47,114.64M,0.66%,0.026375296129358183
2016-04-30,34719.29,34591.87,34881.67,34458.79,180.50M,0.63%,0.04768671353993792
2016-05-31,36061.56,36199.51,36414.38,35947.74,135.42M,-0.48%,0.03866064081379528
2016-06-30,37783.54,37800.74,37993.74,37730.31,81.48M,-0.01%,0.04775112335683773
2016-07-31,39505.28,39426.23,39562.18,39280.69,96.03M,0.09%,0.045568520048677286
2016-08-31,39809.58,39996.38,40022.76,39772.7,104.80M,-0.46%,0.007702767832553192
2016-09-30,40541.81,40346.92,40580.33,40245.47,176.79M,0.61%,0.01839331135872313
2016-10-31,,,,,,,0.0
2016-11-30,,,,,,,0.0
2016-12-31,,,,,,,0.0
2017-01-31,,,,,,,0.0
2017-02-28,,,,,,,0.0
2017-03-31,48155.93,47982.55,48210.74,47678.83,136.34M,0.43%,0.18780907907170397
2017-04-30,49300.9,49472.04,49575.32,49238.05,112.55M,-0.37%,0.023776303354540174
2017-05-31,50591.57,51472.75,51492.44,50213.66,274.37M,-1.67%,0.02617944094326874
2017-06-30,46565.29,46747.19,46831.98,46506.12,113.13M,-0.31%,-0.07958400974707835
2017-07-31,46010.45,46334.55,47111.54,45911.74,150.41M,0.21%,-0.01191531288648695
2017-08-31,41206.99,41199.85,41362.87,40842.5,43.98M,-0.28%,-0.10439932667470109
2017-09-30,42409.27,42391.0,42543.2,42286.6,92.31M,0.11%,0.02917660328987881
2017-10-31,,,,,,,0.0
2017-11-30,,,,,,,0.0
2017-12-31,,,,,,,0.0
2018-01-31,,,,,,,0.0
2018-02-28,,,,,,,0.0
2018-03-31,45560.3,45483.29,45604.59,45391.71,109.23M,0.16%,0.07430050081031836
2018-04-30,45488.86,45752.81,45841.4,45424.87,155.96M,-0.12%,-0.0015680318171742424
2018-05-31,42846.64,42574.6,42919.72,42496.37,98.88M,0.71%,-0.05808499047898763
2018-06-30,41910.9,41998.66,42081.88,41750.01,90.72M,-0.21%,-0.021839285414212095
2018-07-31,42712.43,43638.77,43638.86,42603.43,158.01M,-1.94%,0.01912461913249297
2018-08-31,41742.24,41888.23,42006.03,41626.7,88.50M,-0.29%,-0.02271446508662711
2018-09-30,40998.59,40862.69,41047.08,40622.11,98.75M,0.36%,-0.017815287344426167
2018-10-31,,,,,,,0.0
2018-11-30,,,,,,,0.0
2018-12-31,,,,,,,0.0
2019-01-31,,,,,,,0.0
2019-02-28,,,,,,,0.0
2019-03-31,38649.34,38555.65,38733.37,38483.46,82.77M,0.25%,-0.05730075107461008
2019-04-30,36784.44,36993.38,37037.3,36708.2,82.53M,-0.65%,-0.04825179420916359
2019-05-31,35974.79,36218.83,36536.78,35655.25,176.40M,0.04%,-0.02201066537916574
2019-06-30,33901.58,33776.38,33936.23,33409.5,149.24M,0.38%,-0.05762952334120641
2019-07-31,31938.48,31658.12,31968.78,31545.26,40.95M,0.89%,-0.0579058557152794
2019-08-31,29672.12,30158.96,30309.64,29559.82,,-1.61%,-0.07096017092861029
2019-09-30,32078.85,32070.81,32395.09,31929.62,,0.03%,0.08111082052782215
2019-10-31,,,,,,,0.0
2019-11-30,,,,,,,0.0
2019-12-31,,,,,,,0.0
2020-01-31,,,,,,,0.0
2020-02-29,,,,,,,0.0
2020-03-31,29231.63,28023.39,29334.55,28023.39,,4.31%,-0.08875692239590871
2020-04-30,34111.64,33158.84,34178.57,33158.84,,2.87%,0.16694279450034077
2020-05-31,33931.23,33695.42,34048.56,33695.42,,0.70%,-0.005288810505739261
2020-06-30,34421.92,34181.8,34424.61,34146.05,,0.70%,0.01446130894753872
2020-07-31,39258.44,38836.27,39270.46,38781.18,,1.09%,0.14050697927367217
2020-08-31,41110.93,41056.22,41311.06,41016.56,,0.13%,0.04718705073354923
2020-09-30,40571.48,41204.36,41438.33,40494.9,,-1.54%,-0.013121814563669454
2020-10-31,,,,,,,0.0
2020-11-30,,,,,,,0.0
2020-12-31,,,,,,,0.0
2021-01-31,,,,,,,0.0
2021-02-28,,,,,,,0.0
2021-03-31,44587.85,44491.03,45133.25,44477.9,,0.22%,0.09899490972476221
2021-04-30,44262.35,44863.11,45056.9,44151.69,,-1.34%,-0.007300195008281385
2021-05-31,47896.34,47126.29,47979.68,47126.29,,1.63%,0.08210115368930926
2021-06-30,47356.02,47137.77,47460.31,47137.77,,0.46%,-0.011281028988853858
