Date,Price,Open,High,Low,Vol.,Change %
4/11/2013,"18,764.55","18,752.67","18,789.68","18,696.20",,0.22%
4/12/2013,"18,714.28","18,772.51","18,780.25","18,652.72",,-0.27%
4/15/2013,"18,524.50","18,727.92","18,750.25","18,500.72",,-1.01%
4/16/2013,"18,361.87","18,487.46","18,565.20","18,333.27",,-0.88%
4/17/2013,"18,394.12","18,378.19","18,464.65","18,207.38",,0.18%
4/18/2013,"18,614.36","18,401.73","18,649.84","18,382.29",,1.20%
4/19/2013,"18,631.21","18,618.46","18,779.74","18,610.13",,0.09%
4/22/2013,"18,605.55","18,631.21","18,697.00","18,526.95",,-0.14%
4/23/2013,"18,647.29","18,630.89","18,710.55","18,589.38",,0.22%
4/24/2013,"18,779.66","18,671.37","18,798.05","18,670.56",,0.71%
4/25/2013,"18,885.60","18,792.29","18,928.87","18,792.29",,0.56%
4/26/2013,"18,917.71","18,907.53","18,986.03","18,889.77",,0.17%
4/29/2013,"18,822.85","18,926.64","18,926.64","18,790.82",,-0.50%
4/30/2013,"18,982.42","18,824.89","19,005.46","18,824.89",,0.85%
5/2/2013,"19,034.53","19,003.14","19,102.07","18,996.20",,0.27%
5/3/2013,"19,226.63","19,033.78","19,240.69","19,026.97",,1.01%
5/6/2013,"19,256.70","19,260.59","19,444.52","19,222.57",,0.16%
5/7/2013,"19,262.74","19,272.49","19,298.65","19,168.88",,0.03%
5/8/2013,"19,472.55","19,281.20","19,515.94","19,281.20",,1.09%
5/9/2013,"19,661.46","19,490.37","19,736.25","19,490.37",,0.97%
5/10/2013,"19,916.27","19,772.03","19,944.83","19,749.90",,1.30%
5/13/2013,"20,244.82","19,931.68","20,303.26","19,931.68",,1.65%
5/14/2013,"20,474.62","20,251.19","20,504.65","20,251.19",,1.14%
5/15/2013,"20,566.69","20,613.17","20,647.46","20,347.89",,0.45%
5/16/2013,"20,416.60","20,617.09","20,744.53","20,390.80",,-0.73%
5/17/2013,"20,537.03","20,417.54","20,619.00","20,417.54",,0.59%
5/20/2013,"20,814.14","20,602.42","20,835.29","20,583.73",,1.35%
5/21/2013,"21,168.00","20,913.55","21,198.59","20,913.23",,1.70%
5/22/2013,"21,458.90","21,179.67","21,484.06","21,179.67",,1.37%
5/23/2013,"21,342.65","21,514.29","21,620.54","21,301.81",,-0.54%
5/24/2013,"21,283.77","21,345.41","21,421.01","21,270.24",,-0.28%
5/27/2013,"20,958.86","21,297.64","21,301.02","20,917.04",,-1.53%
5/28/2013,"21,501.72","20,970.60","21,516.14","20,970.60",,2.59%
5/29/2013,"21,441.12","21,505.35","21,711.69","21,418.28",,-0.28%
5/30/2013,"21,590.66","21,462.94","21,682.17","21,443.26",,0.70%
5/31/2013,"21,823.05","21,601.80","21,844.53","21,601.80",,1.08%
6/3/2013,"22,080.85","21,824.91","22,156.49","21,778.97",,1.18%
6/4/2013,"22,274.51","22,084.78","22,324.04","22,084.78",,0.88%
6/5/2013,"22,092.42","22,285.60","22,422.46","22,017.29",,-0.82%
6/6/2013,"22,276.70","22,095.66","22,337.59","21,981.81",,0.83%
6/7/2013,"22,358.96","22,348.75","22,587.53","22,327.27",,0.37%
6/10/2013,"22,150.74","22,362.40","22,450.13","22,099.96",,-0.93%
6/11/2013,"22,209.07","22,158.44","22,297.30","22,158.44",,0.26%
6/12/2013,"22,324.57","22,203.55","22,490.53","22,203.55",,0.52%
6/13/2013,"22,757.72","22,397.51","22,833.20","22,397.51",,1.94%
6/14/2013,"22,541.64","22,798.45","22,826.95","22,515.39",,-0.95%
6/17/2013,"22,216.46","22,585.96","22,606.58","22,188.71",,-1.44%
6/18/2013,"21,919.62","22,235.18","22,320.08","21,846.46",,-1.34%
