s_close,s_date
660.574,"Jun 29, 2018"
660.545,"Jun 30, 2018"
652.744,"Jul 03, 2018"
632.833,"Jul 04, 2018"
633.065,"Jul 05, 2018"
633.806,"Jul 06, 2018"
618.434,"Jul 09, 2018"
620.041,"Jul 10, 2018"
624.677,"Jul 11, 2018"
629.956,"Jul 12, 2018"
636.895,"Jul 13, 2018"
629.24,"Jul 16, 2018"
633.018,"Jul 17, 2018"
648.112,"Jul 18, 2018"
662.766,"Jul 19, 2018"
653.909,"Jul 20, 2018"
640.158,"Jul 23, 2018"
653.998,"Jul 24, 2018"
664.905,"Jul 26, 2018"
675.212,"Jul 27, 2018"
686.851,"Jul 30, 2018"
673.225,"Jul 31, 2018"
673.331,"Aug 01, 2018"
667.565,"Aug 02, 2018"
670.158,"Aug 03, 2018"
675.435,"Aug 06, 2018"
674.621,"Aug 07, 2018"
674.818,"Aug 08, 2018"
679.518,"Aug 09, 2018"
677.969,"Aug 10, 2018"
677.007,"Aug 13, 2018"
676.057,"Aug 15, 2018"
670.687,"Aug 16, 2018"
676.89,"Aug 17, 2018"
679.657,"Aug 20, 2018"
681.345,"Aug 24, 2018"
684.557,"Aug 27, 2018"
683.854,"Aug 28, 2018"
678.834,"Aug 29, 2018"
672.432,"Aug 30, 2018"
670.007,"Aug 31, 2018"
665.87,"Sep 03, 2018"
668.467,"Sep 04, 2018"
665.771,"Sep 05, 2018"
660.787,"Sep 06, 2018"
654.127,"Sep 07, 2018"
650.317,"Sep 10, 2018"
652.694,"Sep 11, 2018"
651.508,"Sep 12, 2018"
658.219,"Sep 13, 2018"
656.072,"Sep 14, 2018"
650.713,"Sep 17, 2018"
660.101,"Sep 18, 2018"
662.599,"Sep 19, 2018"
656.028,"Sep 24, 2018"
660.217,"Sep 25, 2018"
657.347,"Sep 26, 2018"
655.727,"Sep 27, 2018"
657.675,"Sep 28, 2018"
656.656,"Oct 01, 2018"
655.616,"Oct 02, 2018"
650.544,"Oct 03, 2018"
642.924,"Oct 04, 2018"
631.333,"Oct 05, 2018"
610.983,"Oct 08, 2018"
623.823,"Oct 09, 2018"
629.057,"Oct 10, 2018"
622.882,"Oct 11, 2018"
608.976,"Oct 12, 2018"
597.172,"Oct 15, 2018"
595.517,"Oct 16, 2018"
611.459,"Oct 17, 2018"
615.709,"Oct 18, 2018"
621.871,"Oct 19, 2018"
622.095,"Oct 22, 2018"
610.142,"Oct 23, 2018"
635.099,"Oct 24, 2018"
640.012,"Oct 25, 2018"
654.349,"Oct 26, 2018"
668.642,"Oct 29, 2018"
673.71,"Oct 30, 2018"
675.265,"Oct 31, 2018"
676.135,"Nov 01, 2018"
676.515,"Nov 02, 2018"
667.942,"Nov 05, 2018"
661.339,"Nov 06, 2018"
670.692,"Nov 07, 2018"
669.093,"Nov 08, 2018"
669.327,"Nov 09, 2018"
666.602,"Nov 12, 2018"
666.969,"Nov 13, 2018"
664.188,"Nov 14, 2018"
669.675,"Nov 15, 2018"
673.131,"Nov 16, 2018"
669.939,"Nov 19, 2018"
672.185,"Nov 20, 2018"
663.281,"Nov 22, 2018"
661.585,"Nov 23, 2018"
660.953,"Nov 26, 2018"
662.815,"Nov 27, 2018"
660.432,"Nov 28, 2018"
659.417,"Nov 29, 2018"
658.532,"Nov 30, 2018"
639.566,"Dec 03, 2018"
647.232,"Dec 04, 2018"
642.898,"Dec 05, 2018"
627.175,"Dec 06, 2018"
629.092,"Dec 07, 2018"
640.083,"Dec 10, 2018"
632.56,"Dec 11, 2018"
625.351,"Dec 12, 2018"
620.819,"Dec 13, 2018"
631.726,"Dec 14, 2018"
625.579,"Dec 17, 2018"
620.19,"Dec 18, 2018"
617.348,"Dec 19, 2018"
620.185,"Dec 20, 2018"
620.974,"Dec 21, 2018"
619.353,"Dec 24, 2018"
618.258,"Dec 26, 2018"
612.742,"Dec 27, 2018"
603.446,"Dec 28, 2018"
602.519,"Dec 31, 2018"
615.893,"Jan 01, 2019"
615.176,"Jan 02, 2019"
613.529,"Jan 03, 2019"
615.216,"Jan 04, 2019"
631.359,"Jan 07, 2019"
639.552,"Jan 08, 2019"
638.182,"Jan 09, 2019"
640.699,"Jan 10, 2019"
640.779,"Jan 11, 2019"
644.866,"Jan 14, 2019"
649.304,"Jan 15, 2019"
643.7,"Jan 16, 2019"
643.208,"Jan 17, 2019"
