s_close,s_date
435.06,"Apr 21, 2015"
441.47,"Apr 22, 2015"
440.31,"Apr 23, 2015"
442.69,"Apr 24, 2015"
445.63,"Apr 27, 2015"
443.78,"Apr 28, 2015"
443.68,"Apr 29, 2015"
447.84,"Apr 30, 2015"
447.18,"May 04, 2015"
444.28,"May 05, 2015"
444.67,"May 06, 2015"
440.37,"May 07, 2015"
439.06,"May 08, 2015"
423.14,"May 11, 2015"
432.44,"May 12, 2015"
431.02,"May 13, 2015"
434.39,"May 14, 2015"
431.85,"May 15, 2015"
427.7,"May 18, 2015"
425.27,"May 19, 2015"
425.27,"May 20, 2015"
427.78,"May 21, 2015"
428.36,"May 22, 2015"
435.15,"May 25, 2015"
433.615,"May 26, 2015"
439.78,"May 27, 2015"
437.96,"May 28, 2015"
441.72,"May 29, 2015"
446.9,"Jun 01, 2015"
450.44,"Jun 02, 2015"
450.93,"Jun 03, 2015"
453.46,"Jun 04, 2015"
456,"Jun 05, 2015"
468.29,"Jun 08, 2015"
469.79,"Jun 09, 2015"
470.7,"Jun 10, 2015"
472.03,"Jun 11, 2015"
475.28,"Jun 12, 2015"
477.37,"Jun 15, 2015"
475.12,"Jun 16, 2015"
474.27,"Jun 17, 2015"
476.28,"Jun 18, 2015"
468.32,"Jun 19, 2015"
468.32,"Jun 22, 2015"
470.17,"Jun 23, 2015"
474.72,"Jun 24, 2015"
469.89,"Jun 25, 2015"
468.83,"Jun 26, 2015"
468.83,"Jun 29, 2015"
473.67,"Jun 30, 2015"
486.53,"Jul 02, 2015"
494.18,"Jul 03, 2015"
504.62,"Jul 06, 2015"
500.28,"Jul 07, 2015"
500.28,"Jul 08, 2015"
497.44,"Jul 09, 2015"
497.28,"Jul 10, 2015"
502.03,"Jul 13, 2015"
503.59,"Jul 14, 2015"
505.16,"Jul 15, 2015"
507.89,"Jul 16, 2015"
508.98,"Jul 22, 2015"
506.12,"Jul 23, 2015"
503.31,"Jul 24, 2015"
493.29,"Jul 27, 2015"
496.48,"Jul 28, 2015"
500.98,"Jul 29, 2015"
500.37,"Jul 30, 2015"
496.84,"Jul 31, 2015"
503.42,"Aug 03, 2015"
508.8,"Aug 04, 2015"
514.11,"Aug 05, 2015"
518.83,"Aug 06, 2015"
521.63,"Aug 07, 2015"
521.31,"Aug 10, 2015"
522.67,"Aug 11, 2015"
520.11,"Aug 12, 2015"
520.79,"Aug 13, 2015"
518.97,"Aug 17, 2015"
520.44,"Aug 18, 2015"
517.52,"Aug 19, 2015"
512.49,"Aug 20, 2015"
501.96,"Aug 21, 2015"
477.59,"Aug 24, 2015"
494.44,"Aug 25, 2015"
491.96,"Aug 26, 2015"
495.52,"Aug 27, 2015"
504.2,"Aug 28, 2015"
504.42,"Aug 31, 2015"
498.76,"Sep 01, 2015"
499.32,"Sep 02, 2015"
499.6,"Sep 03, 2015"
491.2,"Sep 04, 2015"
477.41,"Sep 07, 2015"
483.96,"Sep 08, 2015"
521.57,"Sep 09, 2015"
488,"Sep 10, 2015"
485.26,"Sep 11, 2015"
481.38,"Sep 14, 2015"
479.08,"Sep 15, 2015"
481.45,"Sep 16, 2015"
479.42,"Sep 17, 2015"
475.72,"Sep 18, 2015"
476.65,"Sep 21, 2015"
479.43,"Sep 22, 2015"
478.46,"Sep 23, 2015"
474.93,"Sep 28, 2015"
468.28,"Sep 29, 2015"
471.25,"Sep 30, 2015"
477.64,"Oct 01, 2015"
481.32,"Oct 02, 2015"
481.97,"Oct 05, 2015"
486.06,"Oct 06, 2015"
486.76,"Oct 07, 2015"
490.21,"Oct 08, 2015"
495.84,"Oct 09, 2015"
495.93,"Oct 12, 2015"
492.42,"Oct 13, 2015"
491.28,"Oct 14, 2015"
490.17,"Oct 15, 2015"
489.64,"Oct 16, 2015"
490.42,"Oct 19, 2015"
489.09,"Oct 20, 2015"
490.55,"Oct 21, 2015"
492.43,"Oct 22, 2015"
489.74,"Oct 26, 2015"
491.93,"Oct 27, 2015"
495.27,"Oct 28, 2015"
499.77,"Oct 29, 2015"
496.04,"Oct 30, 2015"
496.82,"Nov 02, 2015"
499,"Nov 03, 2015"
503.65,"Nov 04, 2015"
503.38,"Nov 05, 2015"
501.52,"Nov 06, 2015"
499.5,"Nov 09, 2015"
494.43,"Nov 10, 2015"
494.3,"Nov 11, 2015"
499.78,"Nov 12, 2015"
499.92,"Nov 13, 2015"
498.14,"Nov 16, 2015"
500.39,"Nov 17, 2015"
499.3,"Nov 18, 2015"
499.5,"Nov 19, 2015"
498.31,"Nov 20, 2015"
498.26,"Nov 23, 2015"
495.3,"Nov 24, 2015"
490.82,"Nov 25, 2015"
489.69,"Nov 26, 2015"
486.9,"Nov 27, 2015"
478.66,"Nov 30, 2015"
469.79,"Dec 01, 2015"
481.3,"Dec 02, 2015"
487.03,"Dec 03, 2015"
492.54,"Dec 04, 2015"
498.79,"Dec 07, 2015"
501.05,"Dec 08, 2015"
504.43,"Dec 09, 2015"
508.2,"Dec 10, 2015"
507.21,"Dec 11, 2015"
504.24,"Dec 14, 2015"
501.66,"Dec 15, 2015"
503.46,"Dec 16, 2015"
510.75,"Dec 17, 2015"
511.98,"Dec 18, 2015"
511.58,"Dec 21, 2015"
508.77,"Dec 22, 2015"
508.77,"Dec 23, 2015"
510.4,"Dec 28, 2015"
509.66,"Dec 29, 2015"
508.86,"Dec 30, 2015"
510.78,"Dec 31, 2015"
518.06,"Jan 01, 2016"
515.64,"Jan 04, 2016"
518.74,"Jan 05, 2016"
521.95,"Jan 06, 2016"
522.49,"Jan 07, 2016"
519.76,"Jan 08, 2016"
517.97,"Jan 11, 2016"
426.42,"Jan 12, 2016"
517.05,"Jan 13, 2016"
505.05,"Jan 14, 2016"
500.5,"Jan 15, 2016"
495.872,"Jan 18, 2016"
502.18,"Jan 19, 2016"
502.42,"Jan 20, 2016"
494.56,"Jan 21, 2016"
498.41,"Jan 22, 2016"
497.09,"Jan 25, 2016"
496.16,"Jan 26, 2016"
496.09,"Jan 27, 2016"
499.7,"Jan 28, 2016"
500.83,"Jan 29, 2016"
506.18,"Feb 01, 2016"
509.16,"Feb 02, 2016"
511.633,"Feb 03, 2016"
516.328,"Feb 04, 2016"
517.11,"Feb 08, 2016"
511.99,"Feb 09, 2016"
509.79,"Feb 10, 2016"
504.12,"Feb 11, 2016"
496.09,"Feb 12, 2016"
501.05,"Feb 15, 2016"
491.57,"Feb 16, 2016"
491.57,"Feb 17, 2016"
486.14,"Feb 18, 2016"
480.42,"Feb 19, 2016"
470.97,"Feb 22, 2016"
466.46,"Feb 23, 2016"
470.79,"Feb 24, 2016"
473.27,"Feb 25, 2016"
479.38,"Feb 26, 2016"
480.28,"Feb 29, 2016"
483.02,"Mar 01, 2016"
491.69,"Mar 02, 2016"
492.23,"Mar 03, 2016"
497.34,"Mar 04, 2016"
504.9,"Mar 07, 2016"
502.64,"Mar 08, 2016"
500.47,"Mar 09, 2016"
497.68,"Mar 10, 2016"
