s_close,s_date
148.33,"Apr 15, 2011"
148.73,"Apr 18, 2011"
147.77,"Apr 19, 2011"
149.3,"Apr 20, 2011"
150.72,"Apr 21, 2011"
151.58,"Apr 22, 2011"
151.66,"Apr 25, 2011"
152.16,"Apr 26, 2011"
153.07,"Apr 27, 2011"
152.8,"Apr 28, 2011"
153.35,"Apr 29, 2011"
152.38,"May 02, 2011"
151.98,"May 03, 2011"
149.31,"May 04, 2011"
150.74,"May 05, 2011"
150.42,"May 06, 2011"
150.66,"May 09, 2011"
150.82,"May 10, 2011"
150.6,"May 11, 2011"
150.24,"May 12, 2011"
150.26,"May 13, 2011"
149.09,"May 16, 2011"
149.62,"May 17, 2011"
149.34,"May 18, 2011"
148.92,"May 19, 2011"
150.03,"May 20, 2011"
150.72,"May 23, 2011"
152.2,"May 24, 2011"
152.67,"May 25, 2011"
153.55,"May 26, 2011"
154.82,"May 27, 2011"
153.86,"May 30, 2011"
153.8,"May 31, 2011"
155.86,"Jun 01, 2011"
154.84,"Jun 02, 2011"
154.83,"Jun 03, 2011"
154.66,"Jun 06, 2011"
155.71,"Jun 07, 2011"
155.76,"Jun 08, 2011"
155.41,"Jun 09, 2011"
155.29,"Jun 10, 2011"
154.92,"Jun 13, 2011"
155.14,"Jun 14, 2011"
154.46,"Jun 15, 2011"
154.97,"Jun 16, 2011"
154.54,"Jun 17, 2011"
152.24,"Jun 20, 2011"
154.45,"Jun 21, 2011"
154.99,"Jun 22, 2011"
155.98,"Jun 23, 2011"
154.79,"Jun 24, 2011"
154.63,"Jun 27, 2011"
152.77,"Jun 28, 2011"
152.93,"Jun 29, 2011"
152.31,"Jun 30, 2011"
153.07,"Jul 01, 2011"
154.17,"Jul 04, 2011"
155.45,"Jul 05, 2011"
156.2,"Jul 06, 2011"
156.02,"Jul 07, 2011"
156.23,"Jul 08, 2011"
155.17,"Jul 11, 2011"
154.91,"Jul 12, 2011"
155.7,"Jul 13, 2011"
155.38,"Jul 14, 2011"
157.6,"Jul 15, 2011"
157.37,"Jul 18, 2011"
158.03,"Jul 19, 2011"
158.7,"Jul 20, 2011"
158.75,"Jul 21, 2011"
159.94,"Jul 22, 2011"
159.48,"Jul 25, 2011"
159.04,"Jul 26, 2011"
157.25,"Jul 27, 2011"
155.85,"Jul 28, 2011"
156.18,"Jul 29, 2011"
157.93,"Aug 01, 2011"
158.11,"Aug 02, 2011"
155.25,"Aug 03, 2011"
154.59,"Aug 04, 2011"
149.54,"Aug 05, 2011"
150.61,"Aug 08, 2011"
146.37,"Aug 09, 2011"
149.5,"Aug 10, 2011"
150.33,"Aug 11, 2011"
151.42,"Aug 12, 2011"
150.88,"Aug 15, 2011"
152.23,"Aug 16, 2011"
153.04,"Aug 17, 2011"
151.77,"Aug 18, 2011"
148.88,"Aug 19, 2011"
149.6,"Aug 22, 2011"
149.86,"Aug 23, 2011"
151.48,"Aug 24, 2011"
150.28,"Aug 25, 2011"
150.27,"Aug 26, 2011"
150.31,"Aug 29, 2011"
153,"Aug 30, 2011"
153.88,"Sep 05, 2011"
155.79,"Sep 06, 2011"
155.61,"Sep 07, 2011"
156.89,"Sep 08, 2011"
156.15,"Sep 09, 2011"
154.53,"Sep 12, 2011"
154.7,"Sep 13, 2011"
156.55,"Sep 14, 2011"
156.88,"Sep 15, 2011"
157.5,"Sep 16, 2011"
157.67,"Sep 19, 2011"
158.97,"Sep 20, 2011"
162.39,"Sep 21, 2011"
161.1,"Sep 22, 2011"
160.57,"Sep 23, 2011"
156.95,"Sep 26, 2011"
160,"Sep 27, 2011"
160.74,"Sep 28, 2011"
161.06,"Sep 29, 2011"
161.91,"Sep 30, 2011"
161.54,"Oct 03, 2011"
163.92,"Oct 04, 2011"
162.65,"Oct 05, 2011"
161.67,"Oct 06, 2011"
161.92,"Oct 07, 2011"
164.67,"Oct 10, 2011"
165.08,"Oct 11, 2011"
165.57,"Oct 12, 2011"
165.15,"Oct 13, 2011"
164.98,"Oct 14, 2011"
165.44,"Oct 17, 2011"
165.61,"Oct 18, 2011"
162.68,"Oct 19, 2011"
162.71,"Oct 20, 2011"
160.44,"Oct 21, 2011"
159.48,"Oct 25, 2011"
156.29,"Oct 26, 2011"
155.23,"Oct 27, 2011"
157.83,"Oct 28, 2011"
162.16,"Oct 31, 2011"
160.43,"Nov 01, 2011"
159.73,"Nov 02, 2011"
160.31,"Nov 03, 2011"
161.75,"Nov 04, 2011"
161.03,"Nov 10, 2011"
161.44,"Nov 11, 2011"
161.1,"Nov 14, 2011"
161.08,"Nov 15, 2011"
160.68,"Nov 16, 2011"
160.01,"Nov 17, 2011"
159.6,"Nov 18, 2011"
159.06,"Nov 21, 2011"
157.73,"Nov 22, 2011"
156.34,"Nov 23, 2011"
158.43,"Nov 24, 2011"
156.53,"Nov 25, 2011"
154.23,"Nov 28, 2011"
153.96,"Nov 29, 2011"
153.95,"Nov 30, 2011"
154.14,"Dec 01, 2011"
151.53,"Dec 02, 2011"
149.1,"Dec 07, 2011"
151.57,"Dec 08, 2011"
151.61,"Dec 09, 2011"
151.3,"Dec 12, 2011"
149.17,"Dec 13, 2011"
150.39,"Dec 14, 2011"
147.05,"Dec 15, 2011"
146.07,"Dec 16, 2011"
146.93,"Dec 19, 2011"
148.65,"Dec 20, 2011"
147.55,"Dec 21, 2011"
147.86,"Dec 22, 2011"
147.27,"Dec 23, 2011"
146.9,"Dec 26, 2011"
146.64,"Dec 27, 2011"
146.83,"Dec 28, 2011"
146.36,"Dec 29, 2011"
144.81,"Dec 30, 2011"
145.36,"Jan 02, 2012"
147.11,"Jan 04, 2012"
145.75,"Jan 05, 2012"
145.09,"Jan 06, 2012"
144.97,"Jan 09, 2012"
144.25,"Jan 10, 2012"
144.79,"Jan 11, 2012"
144.87,"Jan 12, 2012"
146.44,"Jan 13, 2012"
147.29,"Jan 16, 2012"
149.23,"Jan 17, 2012"
151.42,"Jan 18, 2012"
152.08,"Jan 19, 2012"
156.78,"Jan 20, 2012"
161.1,"Jan 23, 2012"
159.48,"Jan 24, 2012"
159.65,"Jan 25, 2012"
159.33,"Jan 26, 2012"
160.51,"Jan 27, 2012"
158.15,"Jan 30, 2012"
158.18,"Jan 31, 2012"
158.39,"Feb 01, 2012"
157.93,"Feb 02, 2012"
158.97,"Feb 03, 2012"
160.41,"Feb 06, 2012"
161.4,"Feb 07, 2012"
161.95,"Feb 08, 2012"
160.87,"Feb 09, 2012"
160.31,"Feb 10, 2012"
160.44,"Feb 13, 2012"
