Performance Summary | MUTUAL FUNDS ASSOCIATION OF PAKISTAN,,,,,,,,,,,,,,,,,
Sector,Category,Fund Name,Rating,Benchmark,Validity Date,NAV,YTD,MTD,1 Day,15 Days,30 Days,90 Days,180 Days,270 Days,365 Days,2 Years,3 Years
Open-End Funds,Shariah Compliant Money Market (Annualized Return ),Faysal Halal Amdani Fund,AA(f),N/A,"Jan 21, 2025",110.673,15.34,10.55,10.00,10.61,10.54,12.20,14.79,16.76,18.29,21.36,20.89
Open-End Funds,Shariah Compliant Money Market (Annualized Return ),Faysal Islamic Cash Fund,AA(f),N/A,"Jan 21, 2025",109.4074,16.83,11.82,11.39,11.71,12.09,13.66,16.22,18.16,19.54,22.34,21.78
Open-End Funds,Shariah Compliant Money Market (Annualized Return ),HBL Islamic Money Market Fund,AA+(f),N/A,"Jan 21, 2025",110.1807,15.94,10.37,17.48,10.39,12.18,13.31,15.69,17.32,18.46,21.59,21.07
Open-End Funds,Shariah Compliant Money Market (Annualized Return ),HBL Islamic Savings Plan I,,N/A,"Jan 20, 2025",108.7548,17.50,9.13,N/A,10.01,9.78,12.35,14.98,16.80,N/A,N/A,N/A
Open-End Funds,Shariah Compliant Money Market (Annualized Return ),JS Islamic Money Market Fund (Formerly: JS Islamic Daily Dividend Fund),AA(f),N/A,"Jan 21, 2025",104.8409,16.09,11.38,10.33,11.24,11.37,12.07,15.56,17.33,18.76,21.59,20.82
Open-End Funds,Shariah Compliant Money Market (Annualized Return ),Lakson Islamic Money Market Fund,AA(f),N/A,"Jan 21, 2025",109.3685,14.86,10.24,11.46,10.03,10.48,11.13,14.23,16.69,17.84,21.05,N/A
Open-End Funds,Shariah Compliant Money Market (Annualized Return ),Mahaana Islamic Cash Fund,AA+(f),N/A,"Jan 19, 2025",115.8101,16.11,9.98,8.18,10.03,10.41,12.71,15.51,17.66,19.21,N/A,N/A
Open-End Funds,Shariah Compliant Money Market (Annualized Return ),Meezan Cash Fund,AA(f),N/A,"Jan 20, 2025",55.7078,15.47,10.40,13.43,10.78,10.97,12.78,14.98,16.92,18.28,20.97,19.99
Open-End Funds,Shariah Compliant Money Market (Annualized Return ),Meezan Rozana Amdani Fund,AA+(f),N/A,"Jan 20, 2025",50,16.34,11.18,25.11,12.07,11.72,13.10,15.82,17.58,18.81,21.51,20.92
Open-End Funds,Shariah Compliant Money Market (Annualized Return ),NBP Islamic Daily Dividend Fund,AA+(f),N/A,"Jan 21, 2025",10,16.57,9.66,14.60,10.02,10.65,12.77,16.07,17.72,18.98,21.70,21.00
Open-End Funds,Shariah Compliant Money Market (Annualized Return ),NBP Islamic Money Market Fund,AA(f),N/A,"Jan 21, 2025",11.0889,16.26,10.71,13.18,11.09,11.64,13.34,15.79,17.56,18.86,21.48,20.49
Open-End Funds,Shariah Compliant Money Market (Annualized Return ),NIT Islamic Money Market Fund,AAA(f),N/A,"Jan 21, 2025",109.8798,15.72,11.47,11.53,11.28,11.93,12.83,15.19,16.90,18.29,21.25,20.80
Open-End Funds,Shariah Compliant Money Market (Annualized Return ),Pak Oman Daily Dividend Fund,AA(f),N/A,"Jan 21, 2025",10,12.99,6.71,8.03,6.82,5.08,8.78,12.36,13.79,14.68,16.74,17.19
Open-End Funds,Shariah Compliant Money Market (Annualized Return ),Pak Qatar Asan Munafa Plan,AA(f),N/A,"Jan 21, 2025",109.201,15.24,9.11,9.82,9.41,8.27,10.79,14.62,16.50,17.72,20.62,N/A
Open-End Funds,Shariah Compliant Money Market (Annualized Return ),Pak Qatar Cash Plan,AA(f),N/A,"Jan 21, 2025",109.9527,16.46,9.97,13.07,9.94,11.76,13.42,16.01,17.72,19.00,21.99,N/A
Open-End Funds,Shariah Compliant Money Market (Annualized Return ),Pak Qatar Daily Dividend Plan,AA(f),N/A,"Jan 21, 2025",100,16.21,10.07,9.93,9.69,11.54,12.38,15.42,17.47,18.74,21.77,N/A
Open-End Funds,Shariah Compliant Money Market (Annualized Return ),786 Islamic Money Market Fund,AM3,N/A,"Jan 20, 2025",101.0756,4.36,6.98,7.59,6.77,5.82,4.36,N/A,N/A,N/A,N/A,N/A
Open-End Funds,Shariah Compliant Income (Annualized Return ),ABL Islamic Income Fund,A+(f),N/A,"Jan 20, 2025",11.369,18.83,9.83,11.24,10.12,12.80,13.61,18.86,19.28,19.99,20.33,18.44
Open-End Funds,Shariah Compliant Income (Annualized Return ),ABL Islamic Sovereign Plan I,,N/A,"Jan 20, 2025",11.0057,20.17,11.06,21.57,12.47,12.11,17.95,20.28,N/A,N/A,N/A,N/A
Open-End Funds,Shariah Compliant Income (Annualized Return ),AKD Islamic Income Fund,AA-(f),N/A,"Jan 20, 2025",56.3193,16.69,8.33,22.89,8.76,9.47,12.33,16.43,(6.77),(0.26),10.02,12.33
Open-End Funds,Shariah Compliant Income (Annualized Return ),Al Ameen Islamic Income Fund,,N/A,"Jan 20, 2025",111.6288,20.82,10.55,7.74,10.47,11.01,14.61,20.86,20.18,20.35,N/A,N/A
Open-End Funds,Shariah Compliant Income (Annualized Return ),Al Ameen Islamic Sovereign Fund,AA-(f),N/A,"Jan 20, 2025",112.2222,18.60,10.03,15.73,10.24,12.25,14.94,18.45,18.95,19.08,20.87,18.84
Open-End Funds,Shariah Compliant Income (Annualized Return ),AL Habib Islamic Income Fund,AA(f),N/A,"Jan 20, 2025",111.0736,16.96,11.10,16.75,11.31,12.22,14.33,16.36,17.94,18.76,21.63,20.45
Open-End Funds,Shariah Compliant Income (Annualized Return ),AL Habib Islamic Savings Fund,AA(f),N/A,"Jan 21, 2025",109.6584,16.50,10.38,13.98,10.47,11.32,14.45,15.95,17.56,18.41,21.60,20.84
Open-End Funds,Shariah Compliant Income (Annualized Return ),Alfalah GHP Islamic Income Fund,AA-(f),N/A,"Jan 17, 2025",113.2318,17.49,9.41,11.61,9.19,12.10,13.86,17.19,18.22,19.09,21.45,19.73
Open-End Funds,Shariah Compliant Income (Annualized Return ),Alfalah Islamic Sovereign Fund (Alfalah Islamic Sovereign Plan I),,N/A,"Jan 17, 2025",100.236,17.54,2.03,12.23,1.32,7.14,12.62,17.04,18.07,18.25,N/A,N/A
Open-End Funds,Shariah Compliant Income (Annualized Return ),Alfalah Islamic Sovereign Fund (Alfalah Islamic Sovereign Plan II),,N/A,"Jan 17, 2025",120.7525,18.89,9.39,18.65,9.72,11.26,13.65,17.49,18.39,18.40,N/A,N/A
Open-End Funds,Shariah Compliant Income (Annualized Return ),Alfalah Islamic Sovereign Fund (Alfalah Islamic Sovereign Plan III),AM1,N/A,"Jan 17, 2025",106.3096,15.56,16.34,6.94,10.84,15.94,12.96,N/A,N/A,N/A,N/A,N/A
Open-End Funds,Shariah Compliant Income (Annualized Return ),Alhamra Daily Dividend Fund,AA-(f),N/A,"Jan 21, 2025",100,15.12,9.86,18.87,10.48,9.20,11.50,14.49,16.62,18.25,20.34,19.90
Open-End Funds,Shariah Compliant Income (Annualized Return ),Alhamra Government Securities Plan I,AM1,N/A,"Jan 20, 2025",112.1143,21.68,9.62,34.89,11.16,11.86,15.42,22.03,N/A,N/A,N/A,N/A
Open-End Funds,Shariah Compliant Income (Annualized Return ),Alhamra Islamic Income Fund,AA(f),N/A,"Jan 20, 2025",114.5216,17.99,10.84,17.74,10.80,12.68,13.54,17.86,18.66,19.13,21.28,20.05
Open-End Funds,Shariah Compliant Income (Annualized Return ),Atlas Islamic Income Fund,AA-(f),N/A,"Jan 20, 2025",561.026,17.11,8.31,14.38,7.68,9.77,12.97,16.35,18.17,18.95,21.22,20.30
Open-End Funds,Shariah Compliant Income (Annualized Return ),AWT Islamic Income Fund,A+(f),N/A,"Jan 20, 2025",115.923,17.65,11.82,15.00,11.60,12.22,14.01,17.20,18.80,20.04,23.17,21.70
Open-End Funds,Shariah Compliant Income (Annualized Return ),Faysal Islamic Savings Growth Fund,A+(f),N/A,"Jan 20, 2025",116.2899,18.53,7.31,11.28,5.04,8.81,12.49,17.78,18.57,18.83,19.70,18.66
Open-End Funds,Shariah Compliant Income (Annualized Return ),Faysal Islamic Sovereign Fund (Faysal Islamic Sovereign Plan I),AA(f),N/A,"Jan 20, 2025",110.754,18.04,9.51,15.22,10.23,10.39,13.09,17.40,18.54,18.59,N/A,N/A
Open-End Funds,Shariah Compliant Income (Annualized Return ),Faysal Islamic Sovereign Fund (Faysal Islamic Sovereign Plan II),AA(f),N/A,"Jan 20, 2025",110.5375,19.48,8.57,13.94,9.26,9.80,13.06,17.54,18.95,19.35,N/A,N/A
Open-End Funds,Shariah Compliant Income (Annualized Return ),Faysal Islamic Special Income Plan I,,N/A,"Jan 21, 2025",11.0515,17.11,11.68,54.24,13.26,13.40,15.50,16.95,17.91,18.21,25.31,N/A
Open-End Funds,Shariah Compliant Income (Annualized Return ),Faysal Islamic Special Income Plan III,,N/A,"Jan 21, 2025",109.1738,18.80,11.72,11.61,11.54,12.76,14.40,15.40,17.37,N/A,N/A,N/A
Open-End Funds,Shariah Compliant Income (Annualized Return ),HBL Islamic Income Fund,A+(f),N/A,"Jan 20, 2025",112.7422,15.56,9.01,N/A,10.20,9.39,12.21,15.00,16.79,17.87,21.76,21.27
Open-End Funds,Shariah Compliant Income (Annualized Return ),JS Islamic Income Fund,AA-(f),N/A,"Jan 20, 2025",114.9207,14.39,9.90,9.89,9.65,10.04,11.25,13.78,15.62,16.82,19.97,18.88
Open-End Funds,Shariah Compliant Income (Annualized Return ),Meezan Daily Income Fund (MDIP I),,N/A,"Jan 20, 2025",50,16.83,8.21,11.61,8.48,10.58,13.13,16.40,17.93,19.10,21.86,21.21
Open-End Funds,Shariah Compliant Income (Annualized Return ),Meezan Daily Income Fund (Meezan Mahana Munafa Plan),,N/A,"Jan 20, 2025",50,12.75,9.51,8.47,9.13,8.92,8.92,12.03,14.53,16.02,18.85,N/A
Open-End Funds,Shariah Compliant Income (Annualized Return ),Meezan Daily Income Fund (Meezan Munafa Plan I),,N/A,"Jan 20, 2025",54.9971,16.96,8.99,7.37,7.88,9.85,13.72,16.70,17.82,18.58,N/A,N/A
Open-End Funds,Shariah Compliant Income (Annualized Return ),Meezan Daily Income Fund (Meezan Sehl Account Plan) (MSHP),,N/A,"Jan 21, 2025",53.8881,12.48,7.60,7.12,7.03,7.51,8.88,11.73,14.32,16.02,N/A,N/A
Open-End Funds,Shariah Compliant Income (Annualized Return ),Meezan Daily Income Fund (Meezan Super Saver Plan) (MSSP),,N/A,"Jan 20, 2025",54.9061,17.34,9.26,10.04,9.27,9.67,13.78,16.42,17.54,N/A,N/A,N/A
Open-End Funds,Shariah Compliant Income (Annualized Return ),Meezan Islamic Income Fund,A+(f),N/A,"Jan 20, 2025",56.753,16.65,10.15,10.73,9.96,10.88,13.04,16.16,17.81,18.77,20.76,19.41
Open-End Funds,Shariah Compliant Income (Annualized Return ),Meezan Sovereign Fund,AA(f),N/A,"Jan 20, 2025",57.6348,17.93,10.15,17.12,10.32,10.96,14.23,17.58,18.68,18.98,22.11,20.14
Open-End Funds,Shariah Compliant Income (Annualized Return ),NBP Islamic Government Securities Plan III,,N/A,"Jan 20, 2025",11.1399,21.33,7.68,20.33,6.81,10.27,14.64,19.67,20.57,21.25,N/A,N/A
Open-End Funds,Shariah Compliant Income (Annualized Return ),NBP Islamic Income Fund,A+(f),N/A,"Jan 20, 2025",11.0797,16.92,9.95,15.80,10.19,11.36,13.60,16.53,17.69,18.33,20.92,20.18
Open-End Funds,Shariah Compliant Income (Annualized Return ),NBP Islamic Mahana Amdani Fund,A+(f),N/A,"Jan 20, 2025",11.0716,16.67,10.74,14.20,10.95,11.39,13.33,16.26,17.60,18.34,20.93,19.80
Open-End Funds,Shariah Compliant Income (Annualized Return ),NBP Islamic Savings Fund,AA-(f),N/A,"Jan 21, 2025",10.4368,15.87,11.33,10.84,11.24,11.59,12.67,15.27,17.32,18.84,20.16,18.98
Open-End Funds,Shariah Compliant Income (Annualized Return ),NBP Riba Free Savings Fund,A+(f),N/A,"Jan 20, 2025",11.2606,15.90,11.28,11.35,11.29,11.47,13.10,15.32,17.33,18.20,20.33,18.98
Open-End Funds,Shariah Compliant Income (Annualized Return ),NIT Islamic Income Fund,AA-(f),N/A,"Jan 20, 2025",10.4985,15.82,10.56,11.46,10.45,11.32,12.89,15.35,17.20,18.26,21.48,20.51
Open-End Funds,Shariah Compliant Income (Annualized Return ),Pak Oman Advantage Islamic Income Fund,A+(f),N/A,"Jan 20, 2025",57.6883,14.21,10.94,10.00,10.79,10.36,11.10,13.65,15.64,17.04,21.70,20.73
Open-End Funds,Shariah Compliant Income (Annualized Return ),Pak Qatar Income Plan,AA-(f),N/A,"Jan 20, 2025",111.9542,18.82,7.56,28.76,6.04,11.29,14.20,18.30,19.58,20.45,23.43,N/A
Open-End Funds,Shariah Compliant Income (Annualized Return ),Pak Qatar Khalis Bachat Plan,A(f),N/A,"Jan 20, 2025",110.3322,16.50,0.94,12.08,(2.79),7.36,10.62,15.97,17.65,18.93,21.91,N/A
Open-End Funds,Shariah Compliant Income (Annualized Return ),Pak Qatar Monthly Income Plan,A+(f),N/A,"Jan 20, 2025",101.7652,18.09,8.34,12.99,3.89,11.76,13.45,17.52,19.01,20.07,22.86,N/A
Open-End Funds,Shariah Compliant Income (Annualized Return ),786 Smart Fund,AA-(f),N/A,"Jan 20, 2025",91.5328,58.57,11.46,10.80,10.90,14.45,13.54,62.70,18.57,19.88,22.71,21.89
Open-End Funds,Shariah Compliant Equity (Absolute Return ),ABL Islamic Stock Fund,,N/A,"Jan 20, 2025",26.5035,47.13,(1.24),0.55,(1.37),3.42,34.80,47.05,54.92,73.31,186.49,128.26
Open-End Funds,Shariah Compliant Equity (Absolute Return ),AKD Islamic Stock Fund,,N/A,"Jan 20, 2025",86.1956,46.61,(0.46),1.82,(1.86),4.67,33.00,43.79,44.00,50.78,157.75,91.37
Open-End Funds,Shariah Compliant Equity (Absolute Return ),Al Ameen Islamic Energy Fund,,N/A,"Jan 20, 2025",280.1578,73.96,(5.64),(0.32),(3.08),(0.78),45.23,75.79,70.84,84.92,223.32,204.95
Open-End Funds,Shariah Compliant Equity (Absolute Return ),Al Ameen Shariah Stock Fund,,N/A,"Jan 20, 2025",363.83,49.23,(2.52),0.31,(2.11),1.37,36.27,50.15,57.70,74.18,193.30,135.85
Open-End Funds,Shariah Compliant Equity (Absolute Return ),AL Habib Islamic Stock Fund,,N/A,"Jan 20, 2025",160.2204,59.95,(0.06),0.86,(0.92),4.31,36.24,52.47,71.85,109.53,247.15,194.74
Open-End Funds,Shariah Compliant Equity (Absolute Return ),Al Meezan Mutual Fund,,N/A,"Jan 20, 2025",36.2984,48.76,(2.61),0.19,(2.49),2.27,35.54,49.17,53.94,68.86,180.06,137.36
Open-End Funds,Shariah Compliant Equity (Absolute Return ),Alfalah GHP Islamic Stock Fund,,N/A,"Jan 17, 2025",55.7562,44.28,(3.28),1.26,(4.72),(0.35),35.75,42.50,55.83,74.62,200.15,144.32
Open-End Funds,Shariah Compliant Equity (Absolute Return ),Alhamra Islamic Stock Fund,,N/A,"Jan 20, 2025",21.58,42.63,(1.60),0.37,(2.18),2.96,25.39,41.79,55.77,73.18,201.36,132.39
Open-End Funds,Shariah Compliant Equity (Absolute Return ),Alhamra Opportunity Fund (Dividend Strategy Plan),,N/A,"Jan 20, 2025",147.6895,55.40,1.78,1.48,(1.01),6.99,15.11,27.69,40.12,N/A,N/A,N/A
Open-End Funds,Shariah Compliant Equity (Absolute Return ),Atlas Islamic Stock Fund,,N/A,"Jan 20, 2025","1,212.4978",46.99,(1.97),0.46,(2.00),2.63,32.88,46.76,55.81,75.58,197.15,138.02
Open-End Funds,Shariah Compliant Equity (Absolute Return ),AWT Islamic Stock Fund,,N/A,"Jan 20, 2025",162.393,48.00,(2.04),0.64,(2.73),2.94,34.92,45.33,54.84,70.38,171.56,116.80
Open-End Funds,Shariah Compliant Equity (Absolute Return ),Faysal Islamic Stock Fund,,N/A,"Jan 19, 2025",134.2507,43.04,(1.53),(0.01),(2.24),2.62,27.41,44.94,53.97,67.46,136.37,90.70
Open-End Funds,Shariah Compliant Equity (Absolute Return ),HBL Islamic Equity Fund,,N/A,"Jan 20, 2025",161.713,45.13,(6.08),N/A,(4.25),(1.99),33.84,40.13,52.34,77.81,159.45,93.65
Open-End Funds,Shariah Compliant Equity (Absolute Return ),HBL Islamic Stock Fund,,N/A,"Jan 20, 2025",200.4068,49.94,(4.22),N/A,(2.41),(0.71),34.16,51.78,53.00,71.35,170.35,87.71
Open-End Funds,Shariah Compliant Equity (Absolute Return ),JS Islamic Fund,,N/A,"Jan 20, 2025",209.3,47.47,(1.04),0.35,(2.68),3.01,34.36,49.72,54.60,71.01,164.37,123.64
Open-End Funds,Shariah Compliant Equity (Absolute Return ),Meezan Energy Fund,,N/A,"Jan 20, 2025",53.6474,57.30,(6.13),(0.56),(4.12),(0.74),43.02,59.15,58.77,70.32,192.74,173.87
Open-End Funds,Shariah Compliant Equity (Absolute Return ),Meezan Islamic Fund,,N/A,"Jan 20, 2025",120.3857,47.41,(2.86),0.35,(2.66),1.82,34.35,47.34,53.60,67.80,172.63,125.83
Open-End Funds,Shariah Compliant Equity (Absolute Return ),NBP Islamic Energy Fund,,N/A,"Jan 20, 2025",23.5148,64.74,(5.74),(0.48),(3.51),(0.34),44.70,67.58,65.87,82.59,217.09,204.29
Open-End Funds,Shariah Compliant Equity (Absolute Return ),NBP Islamic Stock Fund,,N/A,"Jan 20, 2025",21.4414,55.04,(2.73),0.56,(1.87),1.35,38.93,55.89,62.00,77.25,190.68,129.39
Open-End Funds,Shariah Compliant Equity (Absolute Return ),NIT Islamic Equity Fund,,N/A,"Jan 20, 2025",16.03,39.88,(1.23),0.31,(2.49),4.36,33.58,39.76,47.82,66.22,166.74,118.94
Open-End Funds,Shariah Compliant Equity (Absolute Return ),Pak Qatar Islamic Stock Fund,,N/A,"Jan 20, 2025",214.8294,23.11,(1.57),0.44,(1.86),3.35,20.62,23.77,29.08,43.44,128.03,N/A
Open-End Funds,Shariah Compliant Fixed Rate / Return (Annualized Return ),Al Ameen Islamic Fixed Return Plan I (G),,N/A,"Jan 20, 2025",110.6765,19.57,(1.05),(1.06),(3.35),85.21,22.88,17.41,19.33,N/A,N/A,N/A
Open-End Funds,Shariah Compliant Fixed Rate / Return (Annualized Return ),Al Ameen Islamic Fixed Term Plan I (K),,N/A,"Dec 03, 2024",107.974,18.38,43.00,89.83,12.40,15.06,15.52,17.40,N/A,N/A,N/A,N/A
Open-End Funds,Shariah Compliant Fixed Rate / Return (Annualized Return ),Al Ameen Islamic Fixed Term Plan I (L),,N/A,"Dec 03, 2024",107.7855,17.79,(2.62),(43.62),1.35,10.06,14.94,20.27,N/A,N/A,N/A,N/A
Open-End Funds,Shariah Compliant Fixed Rate / Return (Annualized Return ),Al Ameen Islamic Fixed Term Plan I (M),AM1,N/A,"Jan 20, 2025",100,14.08,7.92,11.68,6.77,9.28,11.53,N/A,N/A,N/A,N/A,N/A
Open-End Funds,Shariah Compliant Fixed Rate / Return (Annualized Return ),AL Habib Islamic Munafa Fund Plan IV,,N/A,"Dec 04, 2024",107.9392,18.19,(4.18),13.10,1.22,8.27,15.33,19.16,N/A,N/A,N/A,N/A
Open-End Funds,Shariah Compliant Fixed Rate / Return (Annualized Return ),Alfalah Islamic Stable Return Fund Plan II,,N/A,"Jan 16, 2025",110.1236,19.93,(1.27),(1.28),(1.27),85.66,27.60,20.02,19.68,N/A,N/A,N/A
Open-End Funds,Shariah Compliant Fixed Rate / Return (Annualized Return ),Alfalah Islamic Stable Return Fund Plan IV,,N/A,"Jan 17, 2025",112.3571,23.06,7.12,31.39,8.24,9.74,17.80,21.70,N/A,N/A,N/A,N/A
Open-End Funds,Shariah Compliant Fixed Rate / Return (Annualized Return ),Alhamra Wada Plan (Alhamra Wada Plan IX),,N/A,"Jan 21, 2025",112.0258,22.09,4.91,10.40,6.94,9.09,17.05,21.36,21.16,N/A,N/A,N/A
Open-End Funds,Shariah Compliant Fixed Rate / Return (Annualized Return ),Faysal Islamic Mustakil Munafa Fund (Faysal Islamic Mehdood Muddat Plan I),,N/A,"Jan 20, 2025",110.7837,20.86,4.02,(0.84),0.54,6.36,14.98,18.08,N/A,N/A,N/A,N/A
Open-End Funds,Shariah Compliant Fixed Rate / Return (Annualized Return ),HBL Islamic Fixed Term Plan I,,N/A,"Jun 14, 2024",104.1529,4.10,0.71,0.05,0.76,1.54,N/A,N/A,N/A,N/A,N/A,N/A
Open-End Funds,Shariah Compliant Fixed Rate / Return (Annualized Return ),Meezan Paaidaar Munafa Plan V,,N/A,"Jan 20, 2025",55.123,20.32,7.10,30.08,4.93,8.56,14.40,17.83,18.93,N/A,N/A,N/A
Open-End Funds,Shariah Compliant Fixed Rate / Return (Annualized Return ),Meezan Paaidaar Munafa Plan X,,N/A,"Jan 20, 2025",55.7986,21.69,4.53,10.15,6.42,8.46,16.67,21.04,21.69,N/A,N/A,N/A
Open-End Funds,Shariah Compliant Fixed Rate / Return (Annualized Return ),Meezan Paaidaar Munafa Plan XII,,N/A,"Jan 20, 2025",56.1429,22.86,7.18,21.35,9.93,9.20,17.44,21.47,N/A,N/A,N/A,N/A
Open-End Funds,Shariah Compliant Fixed Rate / Return (Annualized Return ),NBP Islamic Fixed Term Munafa Plan III,,N/A,"Jan 20, 2025",11.2212,22.16,N/A,N/A,N/A,10.95,23.69,23.76,N/A,N/A,N/A,N/A
Open-End Funds,Shariah Compliant Fixed Rate / Return (Annualized Return ),NBP Islamic Fixed Term Munafa Plan V,,N/A,"Jan 20, 2025",10.9294,N/A,N/A,N/A,N/A,14.58,15.88,17.66,N/A,N/A,N/A,N/A
Open-End Funds,Shariah Compliant Fixed Rate / Return (Annualized Return ),NBP Islamic Fixed Term Munafa Plan VI,,N/A,"Jan 20, 2025",11.1645,21.21,N/A,N/A,N/A,13.46,21.45,22.63,21.21,N/A,N/A,N/A
Open-End Funds,Shariah Compliant Fund of Funds - CPPI (Absolute Return ),ABL Islamic Financial Planning Fund (Capital Preservation Plan I),,N/A,"Jan 20, 2025",117.9996,17.92,0.02,0.26,(0.09),2.08,11.11,16.92,22.77,30.23,63.99,61.54
Open-End Funds,Shariah Compliant Aggressive Fixed Income (Annualized Return ),Al Ameen Islamic Aggressive Income Fund,A+(f),N/A,"Jan 20, 2025",120.4674,34.89,9.14,7.23,9.39,12.74,47.94,36.56,32.23,31.73,30.07,27.07
Open-End Funds,Shariah Compliant Aggressive Fixed Income (Annualized Return ),Al Ameen Islamic Aggressive Income Plan I,,N/A,"Jan 20, 2025",120.9465,20.11,11.40,7.34,10.49,12.06,15.52,19.12,20.80,20.91,20.60,18.22
Open-End Funds,Shariah Compliant Aggressive Fixed Income (Annualized Return ),Faysal Islamic Financial Growth Fund (Faysal Islamic Financial Growth Plan I),,N/A,"Jan 20, 2025",110.1248,17.61,10.53,10.07,10.60,11.07,12.58,17.25,18.07,19.26,N/A,N/A
Open-End Funds,Shariah Compliant Aggressive Fixed Income (Annualized Return ),Faysal Islamic Financial Growth Plan II,AM2++,N/A,"Jan 20, 2025",108.2878,18.11,15.37,12.48,14.19,15.73,16.29,N/A,N/A,N/A,N/A,N/A
Open-End Funds,Shariah Compliant Balanced (Absolute Return ),Meezan Balanced Fund,,N/A,"Jan 20, 2025",23.355,27.24,(1.50),0.16,(1.37),1.05,17.12,26.19,31.11,39.36,92.13,85.11
Open-End Funds,Shariah Compliant Asset Allocation (Absolute Return ),ABL Islamic Asset Allocation Fund,,N/A,"Jan 20, 2025",10.9942,10.41,0.41,0.03,0.24,0.79,3.37,8.99,14.33,20.28,44.36,60.80
Open-End Funds,Shariah Compliant Asset Allocation (Absolute Return ),Al Ameen Islamic Asset Allocation Fund,,N/A,"Jan 20, 2025",195.3763,24.70,(0.86),0.12,(0.80),1.09,16.09,23.98,29.51,37.95,88.84,82.85
Open-End Funds,Shariah Compliant Asset Allocation (Absolute Return ),Alfalah GHP Islamic Value Fund,,N/A,"Jan 17, 2025",122.2719,9.95,0.01,0.03,(0.07),0.75,3.26,8.62,14.57,20.87,48.52,67.74
Open-End Funds,Shariah Compliant Asset Allocation (Absolute Return ),Alhamra Islamic Asset Allocation Fund,,N/A,"Jan 20, 2025",153.4114,36.86,(1.42),0.52,(1.71),2.59,22.17,37.38,77.76,97.30,224.49,164.60
Open-End Funds,Shariah Compliant Asset Allocation (Absolute Return ),Faysal Islamic Asset Allocation Fund,,N/A,"Jan 20, 2025",101.0355,12.67,0.56,0.02,0.30,1.07,3.86,10.70,16.74,22.67,47.68,65.78
Open-End Funds,Shariah Compliant Asset Allocation (Absolute Return ),Faysal Islamic Asset Allocation Fund II,,N/A,"Jan 20, 2025",130.3005,30.30,0.38,0.62,0.46,1.94,17.19,N/A,N/A,N/A,N/A,N/A
Open-End Funds,Shariah Compliant Asset Allocation (Absolute Return ),Faysal Khushal Mustaqbil Fund (Faysal Barak’ah Women Savers Plan),,N/A,"Jan 17, 2025",100.0736,0.07,0.07,0.02,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Open-End Funds,Shariah Compliant Asset Allocation (Absolute Return ),Faysal Khushal Mustaqbil Fund (Faysal Nu’umah Women Savers Plan),,N/A,"Jan 17, 2025",100.0752,0.08,0.08,0.02,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Open-End Funds,Shariah Compliant Asset Allocation (Absolute Return ),Faysal Khushal Mustaqbil Fund (Faysal Ujala Women Savers Plan),,N/A,"Jan 17, 2025",100.0731,0.07,0.07,0.02,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Open-End Funds,Shariah Compliant Asset Allocation (Absolute Return ),HBL Islamic Asset Allocation Fund,,N/A,"Jan 20, 2025",251.9164,47.18,(3.48),N/A,(2.24),(0.13),31.68,46.57,54.58,71.13,175.16,133.98
Open-End Funds,Shariah Compliant Asset Allocation (Absolute Return ),HBL Islamic Asset Allocation Fund Plan I,,N/A,"Jan 15, 2025",110.1014,7.68,(0.06),N/A,(0.06),(0.15),1.90,6.75,(8.51),(3.32),17.37,32.93
Open-End Funds,Shariah Compliant Asset Allocation (Absolute Return ),HBL Islamic Asset Allocation Fund Plan II,,N/A,"Jan 20, 2025",110.7667,9.26,0.95,N/A,0.77,1.59,3.16,8.01,12.01,18.21,44.04,N/A
Open-End Funds,Shariah Compliant Asset Allocation (Absolute Return ),Lakson Islamic Tactical Fund,,N/A,"Jan 20, 2025",100.0804,16.20,0.03,0.11,(0.15),1.15,8.00,15.16,21.21,29.48,71.83,63.50
Open-End Funds,Shariah Compliant Asset Allocation (Absolute Return ),Meezan Asset Allocation Fund,,N/A,"Jan 20, 2025",84.934,39.92,(4.16),0.03,(3.64),0.70,29.40,39.65,43.69,55.00,138.61,97.83
Open-End Funds,Shariah Compliant Asset Allocation (Absolute Return ),Meezan Dynamic Asset Allocation Fund (Meezan Dividend Yield Plan),AM1,N/A,"Jan 20, 2025",65.8166,31.74,(2.38),0.15,(2.74),2.96,28.14,N/A,N/A,N/A,N/A,N/A
Open-End Funds,Shariah Compliant Asset Allocation (Absolute Return ),NBP Islamic Sarmaya Izafa Fund,,N/A,"Jan 20, 2025",29.82,44.81,(2.58),0.24,(1.79),0.73,31.19,45.15,51.03,64.48,161.25,124.47
Open-End Funds,Shariah Compliant Asset Allocation (Absolute Return ),Pak Oman Islamic Asset Allocation Fund,,N/A,"Jan 20, 2025",52.6647,34.20,(1.13),0.50,(1.23),4.91,28.21,35.13,33.93,40.29,83.00,67.49
Open-End Funds,Shariah Compliant Asset Allocation (Absolute Return ),Pak Qatar Asset Allocation Plan I (PQAAP  IA),,N/A,"Jan 20, 2025",112.6384,12.20,0.87,0.07,0.66,0.89,3.60,10.33,16.29,21.96,N/A,N/A
