0,1,s_close,s_date
"Jun 10, 22",10.35,10.35,"Jun 10, 22"
"Jun 24, 22",9.94,9.94,"Jun 24, 22"
"Jun 30, 22",9.92,9.92,"Jun 30, 22"
"Jul 01, 22",9.97,9.97,"Jul 01, 22"
"Jul 13, 22",10.09,10.09,"Jul 13, 22"
"Jul 18, 22",10.09,10.09,"Jul 18, 22"
"Jul 19, 22",9.97,9.97,"Jul 19, 22"
"Jul 26, 22",9.78,9.78,"Jul 26, 22"
"Aug 04, 22",10.09,10.09,"Aug 04, 22"
"Aug 26, 22",10.55,10.55,"Aug 26, 22"
"Sep 02, 22",10.35,10.35,"Sep 02, 22"
"Sep 12, 22",10.22,10.22,"Sep 12, 22"
"Oct 19, 22",10.25,10.25,"Oct 19, 22"
"Nov 02, 22",10.34,10.34,"Nov 02, 22"
"Nov 07, 22",10.33,10.33,"Nov 07, 22"
"Nov 16, 22",10.64,10.64,"Nov 16, 22"
"Nov 23, 22",10.68,10.68,"Nov 23, 22"
"Nov 25, 22",10.75,10.75,"Nov 25, 22"
"Nov 28, 22",10.59,10.59,"Nov 28, 22"
"Dec 02, 22",10.66,10.66,"Dec 02, 22"
"Dec 19, 22",10.39,10.39,"Dec 19, 22"
"Dec 21, 22",10.19,10.19,"Dec 21, 22"
"Jan 05, 23",10.40,10.40,"Jan 05, 23"
"Jan 11, 23",10.44,10.44,"Jan 11, 23"
"Feb 07, 23",11.01,11.01,"Feb 07, 23"
"Feb 23, 23",10.81,10.81,"Feb 23, 23"
"Mar 09, 23",10.97,10.97,"Mar 09, 23"
"Mar 22, 23",10.82,10.82,"Mar 22, 23"
"Apr 04, 23",10.59,10.59,"Apr 04, 23"
"May 05, 23",11.29,11.29,"May 05, 23"
"May 30, 23",11.92,11.92,"May 30, 23"
"Jul 11, 23",10.89,10.89,"Jul 11, 23"
"Jul 21, 23",11.21,11.21,"Jul 21, 23"
"Aug 03, 23",12.04,12.04,"Aug 03, 23"
"Aug 17, 23",11.86,11.86,"Aug 17, 23"
"Aug 18, 23",11.95,11.95,"Aug 18, 23"
"Aug 21, 23",11.71,11.71,"Aug 21, 23"
"Aug 24, 23",11.87,11.87,"Aug 24, 23"
"Oct 02, 23",11.37,11.37,"Oct 02, 23"
"Oct 23, 23",12.50,12.50,"Oct 23, 23"
"Oct 31, 23",12.80,12.80,"Oct 31, 23"
"Nov 02, 23",12.72,12.72,"Nov 02, 23"
"Nov 06, 23",12.91,12.91,"Nov 06, 23"
"Nov 08, 23",13.30,13.30,"Nov 08, 23"
"Nov 10, 23",13.42,13.42,"Nov 10, 23"
"Nov 13, 23",13.69,13.69,"Nov 13, 23"
"Nov 14, 23",13.74,13.74,"Nov 14, 23"
"Nov 20, 23",13.61,13.61,"Nov 20, 23"
"Nov 24, 23",14.08,14.08,"Nov 24, 23"
"Nov 28, 23",14.48,14.48,"Nov 28, 23"
"Dec 01, 23",14.73,14.73,"Dec 01, 23"
"Dec 05, 23",14.98,14.98,"Dec 05, 23"
"Dec 06, 23",15.30,15.30,"Dec 06, 23"
"Dec 08, 23",15.66,15.66,"Dec 08, 23"
"Dec 11, 23",15.41,15.41,"Dec 11, 23"
"Dec 13, 23",15.41,15.41,"Dec 13, 23"
"Dec 22, 23",14.84,14.84,"Dec 22, 23"
"Dec 26, 23",14.44,14.44,"Dec 26, 23"
"Dec 27, 23",14.34,14.34,"Dec 27, 23"
"Jan 03, 24",15.45,15.45,"Jan 03, 24"
"Jan 04, 24",15.37,15.37,"Jan 04, 24"
"Jan 19, 24",15.30,15.30,"Jan 19, 24"
"Jan 22, 24",15.20,15.20,"Jan 22, 24"
"Jan 23, 24",15.41,15.41,"Jan 23, 24"
"Jan 25, 24",15.66,15.66,"Jan 25, 24"
"Feb 02, 24",15.31,15.31,"Feb 02, 24"
"Feb 07, 24",15.57,15.57,"Feb 07, 24"
"Feb 09, 24",15.34,15.34,"Feb 09, 24"
"Feb 14, 24",15.15,15.15,"Feb 14, 24"
"Feb 21, 24",14.86,14.86,"Feb 21, 24"
"Mar 04, 24",16.21,16.21,"Mar 04, 24"
"Mar 06, 24",16.06,16.06,"Mar 06, 24"
"Mar 07, 24",16.02,16.02,"Mar 07, 24"
"Mar 11, 24",15.91,15.91,"Mar 11, 24"
"Mar 18, 24",15.95,15.95,"Mar 18, 24"
"Mar 20, 24",16.00,16.00,"Mar 20, 24"
"Mar 22, 24",15.98,15.98,"Mar 22, 24"
"Apr 22, 24",17.56,17.56,"Apr 22, 24"
"Apr 24, 24",17.73,17.73,"Apr 24, 24"
"Apr 26, 24",18.00,18.00,"Apr 26, 24"
"Apr 29, 24",17.70,17.70,"Apr 29, 24"
"May 08, 24",17.64,17.64,"May 08, 24"
"May 20, 24",18.37,18.37,"May 20, 24"
"May 23, 24",18.44,18.44,"May 23, 24"
"May 24, 24",18.55,18.55,"May 24, 24"
"May 27, 24",18.61,18.61,"May 27, 24"
"May 29, 24",18.50,18.50,"May 29, 24"
"May 30, 24",18.46,18.46,"May 30, 24"
"Jun 03, 24",18.68,18.68,"Jun 03, 24"
"Jun 04, 24",18.39,18.39,"Jun 04, 24"
"Jun 05, 24",18.30,18.30,"Jun 05, 24"
"Jun 06, 24",18.33,18.33,"Jun 06, 24"
"Jun 10, 24",17.99,17.99,"Jun 10, 24"
"Jun 11, 24",17.91,17.91,"Jun 11, 24"
"Jun 12, 24",17.98,17.98,"Jun 12, 24"
"Jun 14, 24",18.82,18.82,"Jun 14, 24"
"Jun 20, 24",20.37,20.37,"Jun 20, 24"
"Jun 21, 24",19.71,19.71,"Jun 21, 24"
"Jun 24, 24",18.70,18.70,"Jun 24, 24"
"Jun 28, 24",19.15,19.15,"Jun 28, 24"
"Jul 01, 24",17.82,17.82,"Jul 01, 24"
"Jul 02, 24",18.03,18.03,"Jul 02, 24"
"Jul 05, 24",18.11,18.11,"Jul 05, 24"
"Jul 08, 24",18.11,18.11,"Jul 08, 24"
"Jul 09, 24",18.14,18.14,"Jul 09, 24"
"Jul 10, 24",17.98,17.98,"Jul 10, 24"
"Jul 11, 24",17.99,17.99,"Jul 11, 24"
"Jul 12, 24",17.94,17.94,"Jul 12, 24"
"Jul 18, 24",18.24,18.24,"Jul 18, 24"
"Jul 22, 24",17.66,17.66,"Jul 22, 24"
"Jul 23, 24",17.85,17.85,"Jul 23, 24"
"Jul 24, 24",18.01,18.01,"Jul 24, 24"
"Jul 26, 24",17.52,17.52,"Jul 26, 24"
"Jul 29, 24",17.82,17.82,"Jul 29, 24"
"Aug 05, 24",17.72,17.72,"Aug 05, 24"
"Aug 06, 24",17.62,17.62,"Aug 06, 24"
"Aug 07, 24",17.69,17.69,"Aug 07, 24"
"Aug 09, 24",17.81,17.81,"Aug 09, 24"
"Aug 13, 24",17.54,17.54,"Aug 13, 24"
"Aug 19, 24",17.54,17.54,"Aug 19, 24"
"Aug 20, 24",17.62,17.62,"Aug 20, 24"
"Aug 26, 24",17.78,17.78,"Aug 26, 24"
"Aug 27, 24",17.63,17.63,"Aug 27, 24"
"Aug 29, 24",17.48,17.48,"Aug 29, 24"
"Aug 30, 24",17.79,17.79,"Aug 30, 24"
"Sep 04, 24",17.74,17.74,"Sep 04, 24"
"Sep 11, 24",17.63,17.63,"Sep 11, 24"
"Sep 12, 24",17.60,17.60,"Sep 12, 24"
"Sep 13, 24",17.70,17.70,"Sep 13, 24"
