0,1,s_close,s_date
"Aug 23, 23",7.46,7.46,"Aug 23, 23"
"Sep 06, 23",6.92,6.92,"Sep 06, 23"
"Sep 22, 23",7.32,7.32,"Sep 22, 23"
"Sep 28, 23",7.40,7.40,"Sep 28, 23"
"Oct 02, 23",7.53,7.53,"Oct 02, 23"
"Oct 09, 23",7.62,7.62,"Oct 09, 23"
"Oct 13, 23",7.95,7.95,"Oct 13, 23"
"Oct 25, 23",8.43,8.43,"Oct 25, 23"
"Oct 26, 23",8.49,8.49,"Oct 26, 23"
"Nov 08, 23",9.10,9.10,"Nov 08, 23"
"Nov 10, 23",9.25,9.25,"Nov 10, 23"
"Nov 14, 23",9.38,9.38,"Nov 14, 23"
"Nov 20, 23",9.66,9.66,"Nov 20, 23"
"Nov 21, 23",9.94,9.94,"Nov 21, 23"
"Nov 27, 23",10.08,10.08,"Nov 27, 23"
"Nov 28, 23",10.21,10.21,"Nov 28, 23"
"Nov 29, 23",10.19,10.19,"Nov 29, 23"
"Dec 01, 23",10.53,10.53,"Dec 01, 23"
"Dec 07, 23",10.99,10.99,"Dec 07, 23"
"Dec 11, 23",12.00,12.00,"Dec 11, 23"
"Dec 14, 23",10.98,10.98,"Dec 14, 23"
"Dec 18, 23",11.04,11.04,"Dec 18, 23"
"Dec 22, 23",10.54,10.54,"Dec 22, 23"
"Dec 28, 23",10.98,10.98,"Dec 28, 23"
"Jan 03, 24",10.86,10.86,"Jan 03, 24"
"Jan 08, 24",10.71,10.71,"Jan 08, 24"
"Jan 10, 24",10.82,10.82,"Jan 10, 24"
"Jan 23, 24",10.82,10.82,"Jan 23, 24"
"Jan 24, 24",9.84,9.84,"Jan 24, 24"
"Jan 25, 24",9.81,9.81,"Jan 25, 24"
"Jan 26, 24",9.65,9.65,"Jan 26, 24"
"Jan 29, 24",9.46,9.46,"Jan 29, 24"
"Jan 30, 24",9.20,9.20,"Jan 30, 24"
"Feb 02, 24",9.38,9.38,"Feb 02, 24"
"Feb 06, 24",9.38,9.38,"Feb 06, 24"
"Feb 27, 24",9.38,9.38,"Feb 27, 24"
"Feb 28, 24",9.75,9.75,"Feb 28, 24"
"Mar 04, 24",10.07,10.07,"Mar 04, 24"
"Mar 08, 24",9.85,9.85,"Mar 08, 24"
"Mar 12, 24",9.91,9.91,"Mar 12, 24"
"Mar 14, 24",9.69,9.69,"Mar 14, 24"
"Mar 15, 24",9.83,9.83,"Mar 15, 24"
"Mar 19, 24",9.69,9.69,"Mar 19, 24"
"Mar 21, 24",9.78,9.78,"Mar 21, 24"
"Apr 01, 24",9.93,9.93,"Apr 01, 24"
"Apr 02, 24",9.84,9.84,"Apr 02, 24"
"Apr 03, 24",9.84,9.84,"Apr 03, 24"
"Apr 08, 24",10.16,10.16,"Apr 08, 24"
"Apr 09, 24",10.26,10.26,"Apr 09, 24"
"Apr 15, 24",10.35,10.35,"Apr 15, 24"
"Apr 18, 24",4.55,4.55,"Apr 18, 24"
"Apr 19, 24",10.09,10.09,"Apr 19, 24"
"Apr 22, 24",10.31,10.31,"Apr 22, 24"
"Apr 23, 24",10.50,10.50,"Apr 23, 24"
"Apr 26, 24",10.75,10.75,"Apr 26, 24"
"Apr 29, 24",10.69,10.69,"Apr 29, 24"
"May 03, 24",10.19,10.19,"May 03, 24"
"May 07, 24",10.34,10.34,"May 07, 24"
"May 08, 24",10.10,10.10,"May 08, 24"
"May 09, 24",10.32,10.32,"May 09, 24"
"May 14, 24",11.63,11.63,"May 14, 24"
"May 20, 24",11.24,11.24,"May 20, 24"
"May 22, 24",11.00,11.00,"May 22, 24"
"May 23, 24",11.04,11.04,"May 23, 24"
"May 24, 24",11.05,11.05,"May 24, 24"
"May 27, 24",11.08,11.08,"May 27, 24"
"May 29, 24",10.98,10.98,"May 29, 24"
"May 30, 24",11.00,11.00,"May 30, 24"
"May 31, 24",11.04,11.04,"May 31, 24"
"Jun 03, 24",11.23,11.23,"Jun 03, 24"
"Jun 04, 24",11.10,11.10,"Jun 04, 24"
"Jun 05, 24",11.01,11.01,"Jun 05, 24"
"Jun 06, 24",11.00,11.00,"Jun 06, 24"
"Jun 07, 24",10.96,10.96,"Jun 07, 24"
"Jun 11, 24",10.98,10.98,"Jun 11, 24"
"Jun 13, 24",11.23,11.23,"Jun 13, 24"
"Jun 14, 24",11.25,11.25,"Jun 14, 24"
"Jun 20, 24",11.30,11.30,"Jun 20, 24"
"Jun 21, 24",11.17,11.17,"Jun 21, 24"
"Jun 24, 24",11.04,11.04,"Jun 24, 24"
"Jun 25, 24",11.02,11.02,"Jun 25, 24"
"Jun 26, 24",11.06,11.06,"Jun 26, 24"
"Jun 27, 24",10.25,10.25,"Jun 27, 24"
"Jun 28, 24",10.89,10.89,"Jun 28, 24"
"Jul 01, 24",10.27,10.27,"Jul 01, 24"
"Jul 02, 24",10.27,10.27,"Jul 02, 24"
"Jul 05, 24",10.48,10.48,"Jul 05, 24"
"Jul 08, 24",10.56,10.56,"Jul 08, 24"
"Jul 09, 24",11.47,11.47,"Jul 09, 24"
"Jul 10, 24",10.70,10.70,"Jul 10, 24"
"Jul 11, 24",10.69,10.69,"Jul 11, 24"
"Jul 12, 24",10.51,10.51,"Jul 12, 24"
"Jul 15, 24",10.70,10.70,"Jul 15, 24"
"Jul 18, 24",10.80,10.80,"Jul 18, 24"
"Jul 19, 24",10.70,10.70,"Jul 19, 24"
"Jul 22, 24",10.39,10.39,"Jul 22, 24"
"Jul 23, 24",10.26,10.26,"Jul 23, 24"
"Jul 25, 24",10.34,10.34,"Jul 25, 24"
"Jul 26, 24",10.21,10.21,"Jul 26, 24"
"Jul 29, 24",10.34,10.34,"Jul 29, 24"
"Jul 30, 24",10.44,10.44,"Jul 30, 24"
"Aug 01, 24",10.07,10.07,"Aug 01, 24"
"Aug 02, 24",10.01,10.01,"Aug 02, 24"
"Aug 05, 24",10.09,10.09,"Aug 05, 24"
"Aug 06, 24",9.97,9.97,"Aug 06, 24"
"Aug 07, 24",9.93,9.93,"Aug 07, 24"
"Aug 08, 24",9.94,9.94,"Aug 08, 24"
"Aug 09, 24",10.21,10.21,"Aug 09, 24"
"Aug 12, 24",9.89,9.89,"Aug 12, 24"
"Aug 13, 24",9.84,9.84,"Aug 13, 24"
"Aug 16, 24",9.82,9.82,"Aug 16, 24"
"Aug 19, 24",9.73,9.73,"Aug 19, 24"
"Aug 22, 24",10.01,10.01,"Aug 22, 24"
"Aug 27, 24",10.60,10.60,"Aug 27, 24"
"Aug 28, 24",9.85,9.85,"Aug 28, 24"
"Sep 02, 24",9.89,9.89,"Sep 02, 24"
"Sep 04, 24",9.94,9.94,"Sep 04, 24"
"Sep 06, 24",9.99,9.99,"Sep 06, 24"
"Sep 09, 24",9.85,9.85,"Sep 09, 24"
"Sep 10, 24",9.90,9.90,"Sep 10, 24"
"Sep 11, 24",9.90,9.90,"Sep 11, 24"
