0,1,s_close,s_date
"Feb 03, 22",12.87,12.87,"Feb 03, 22"
"Feb 04, 22",12.80,12.80,"Feb 04, 22"
"Feb 07, 22",12.80,12.80,"Feb 07, 22"
"Feb 08, 22",12.72,12.72,"Feb 08, 22"
"Feb 09, 22",12.90,12.90,"Feb 09, 22"
"Feb 10, 22",12.87,12.87,"Feb 10, 22"
"Feb 11, 22",13.00,13.00,"Feb 11, 22"
"Feb 14, 22",12.78,12.78,"Feb 14, 22"
"Feb 15, 22",12.78,12.78,"Feb 15, 22"
"Feb 17, 22",12.83,12.83,"Feb 17, 22"
"Feb 21, 22",12.69,12.69,"Feb 21, 22"
"Feb 23, 22",12.71,12.71,"Feb 23, 22"
"Feb 24, 22",12.53,12.53,"Feb 24, 22"
"Feb 25, 22",12.50,12.50,"Feb 25, 22"
"Mar 01, 22",12.43,12.43,"Mar 01, 22"
"Mar 10, 22",12.07,12.07,"Mar 10, 22"
"Mar 16, 22",12.35,12.35,"Mar 16, 22"
"Mar 28, 22",12.18,12.18,"Mar 28, 22"
"Mar 30, 22",12.50,12.50,"Mar 30, 22"
"Mar 31, 22",12.35,12.35,"Mar 31, 22"
"Apr 06, 22",12.21,12.21,"Apr 06, 22"
"Apr 07, 22",12.22,12.22,"Apr 07, 22"
"Apr 08, 22",12.14,12.14,"Apr 08, 22"
"Apr 11, 22",12.55,12.55,"Apr 11, 22"
"Apr 12, 22",12.64,12.64,"Apr 12, 22"
"Apr 13, 22",12.75,12.75,"Apr 13, 22"
"Apr 14, 22",12.88,12.88,"Apr 14, 22"
"Apr 15, 22",12.80,12.80,"Apr 15, 22"
"Apr 19, 22",12.68,12.68,"Apr 19, 22"
"Apr 20, 22",12.61,12.61,"Apr 20, 22"
"Apr 25, 22",12.70,12.70,"Apr 25, 22"
"Apr 26, 22",12.65,12.65,"Apr 26, 22"
"May 09, 22",12.02,12.02,"May 09, 22"
"May 16, 22",11.76,11.76,"May 16, 22"
"May 17, 22",11.55,11.55,"May 17, 22"
"May 19, 22",11.79,11.79,"May 19, 22"
"May 23, 22",11.57,11.57,"May 23, 22"
"May 25, 22",11.15,11.15,"May 25, 22"
"May 26, 22",11.25,11.25,"May 26, 22"
"May 27, 22",11.68,11.68,"May 27, 22"
"May 30, 22",11.52,11.52,"May 30, 22"
"May 31, 22",11.57,11.57,"May 31, 22"
"Jun 01, 22",11.54,11.54,"Jun 01, 22"
"Jun 02, 22",11.28,11.28,"Jun 02, 22"
"Jun 06, 22",11.18,11.18,"Jun 06, 22"
"Jun 08, 22",11.13,11.13,"Jun 08, 22"
"Jun 10, 22",11.39,11.39,"Jun 10, 22"
"Jun 13, 22",11.00,11.00,"Jun 13, 22"
"Jun 20, 22",11.23,11.23,"Jun 20, 22"
