0,1,s_close,s_date
"Jun 06, 24",16.60,16.60,"Jun 06, 24"
"Jun 07, 24",16.12,16.12,"Jun 07, 24"
"Jun 10, 24",16.24,16.24,"Jun 10, 24"
"Jun 11, 24",16.05,16.05,"Jun 11, 24"
"Jun 14, 24",17.50,17.50,"Jun 14, 24"
"Jun 20, 24",17.72,17.72,"Jun 20, 24"
"Jun 21, 24",17.61,17.61,"Jun 21, 24"
"Jun 24, 24",17.90,17.90,"Jun 24, 24"
"Jun 25, 24",17.73,17.73,"Jun 25, 24"
"Jun 26, 24",17.82,17.82,"Jun 26, 24"
"Jun 27, 24",17.90,17.90,"Jun 27, 24"
"Jun 28, 24",17.77,17.77,"Jun 28, 24"
"Jul 01, 24",17.70,17.70,"Jul 01, 24"
"Jul 02, 24",16.21,16.21,"Jul 02, 24"
"Jul 05, 24",16.37,16.37,"Jul 05, 24"
"Jul 08, 24",16.38,16.38,"Jul 08, 24"
"Jul 09, 24",16.34,16.34,"Jul 09, 24"
"Jul 10, 24",16.25,16.25,"Jul 10, 24"
"Jul 11, 24",16.21,16.21,"Jul 11, 24"
"Jul 12, 24",16.18,16.18,"Jul 12, 24"
"Jul 15, 24",16.37,16.37,"Jul 15, 24"
"Jul 18, 24",16.42,16.42,"Jul 18, 24"
"Jul 22, 24",16.00,16.00,"Jul 22, 24"
"Jul 25, 24",16.00,16.00,"Jul 25, 24"
"Jul 31, 24",16.00,16.00,"Jul 31, 24"
"Aug 02, 24",15.75,15.75,"Aug 02, 24"
"Aug 05, 24",15.96,15.96,"Aug 05, 24"
"Aug 12, 24",15.85,15.85,"Aug 12, 24"
"Aug 19, 24",15.70,15.70,"Aug 19, 24"
"Aug 20, 24",15.80,15.80,"Aug 20, 24"
"Aug 23, 24",15.82,15.82,"Aug 23, 24"
"Aug 30, 24",15.68,15.68,"Aug 30, 24"
"Sep 04, 24",15.88,15.88,"Sep 04, 24"
"Sep 05, 24",15.88,15.88,"Sep 05, 24"
"Sep 11, 24",15.66,15.66,"Sep 11, 24"
"Sep 12, 24",15.68,15.68,"Sep 12, 24"
"Sep 19, 24",16.19,16.19,"Sep 19, 24"
"Sep 20, 24",16.41,16.41,"Sep 20, 24"
"Sep 26, 24",16.45,16.45,"Sep 26, 24"
"Sep 27, 24",16.45,16.45,"Sep 27, 24"
"Oct 01, 24",16.40,16.40,"Oct 01, 24"
"Oct 02, 24",16.43,16.43,"Oct 02, 24"
"Oct 04, 24",16.45,16.45,"Oct 04, 24"
"Oct 07, 24",17.19,17.19,"Oct 07, 24"
"Oct 16, 24",17.30,17.30,"Oct 16, 24"
"Oct 21, 24",17.20,17.20,"Oct 21, 24"
"Oct 25, 24",18.35,18.35,"Oct 25, 24"
"Oct 28, 24",17.98,17.98,"Oct 28, 24"
"Oct 30, 24",18.40,18.40,"Oct 30, 24"
"Nov 05, 24",18.43,18.43,"Nov 05, 24"
"Nov 06, 24",18.40,18.40,"Nov 06, 24"
"Nov 11, 24",18.67,18.67,"Nov 11, 24"
"Nov 12, 24",18.80,18.80,"Nov 12, 24"
"Nov 13, 24",18.56,18.56,"Nov 13, 24"
"Nov 18, 24",19.04,19.04,"Nov 18, 24"
"Nov 19, 24",19.20,19.20,"Nov 19, 24"
"Nov 20, 24",19.15,19.15,"Nov 20, 24"
"Nov 25, 24",19.85,19.85,"Nov 25, 24"
"Nov 26, 24",19.01,19.01,"Nov 26, 24"
"Nov 28, 24",20.06,20.06,"Nov 28, 24"
"Nov 29, 24",20.32,20.32,"Nov 29, 24"
"Dec 03, 24",18.45,18.45,"Dec 03, 24"
"Dec 04, 24",20.51,20.51,"Dec 04, 24"
"Dec 05, 24",21.16,21.16,"Dec 05, 24"
"Dec 06, 24",21.53,21.53,"Dec 06, 24"
"Dec 09, 24",21.40,21.40,"Dec 09, 24"
"Dec 10, 24",21.40,21.40,"Dec 10, 24"
"Dec 11, 24",21.60,21.60,"Dec 11, 24"
"Dec 12, 24",22.18,22.18,"Dec 12, 24"
"Dec 13, 24",22.20,22.20,"Dec 13, 24"
"Dec 17, 24",22.68,22.68,"Dec 17, 24"
"Dec 18, 24",21.84,21.84,"Dec 18, 24"
"Dec 19, 24",20.95,20.95,"Dec 19, 24"
"Dec 20, 24",21.28,21.28,"Dec 20, 24"
"Dec 23, 24",22.10,22.10,"Dec 23, 24"
"Dec 24, 24",22.61,22.61,"Dec 24, 24"
"Dec 26, 24",21.68,21.68,"Dec 26, 24"
"Dec 27, 24",21.82,21.82,"Dec 27, 24"
"Dec 30, 24",22.44,22.44,"Dec 30, 24"
"Dec 31, 24",22.62,22.62,"Dec 31, 24"
"Jan 01, 25",22.82,22.82,"Jan 01, 25"
"Jan 02, 25",22.75,22.75,"Jan 02, 25"
"Jan 06, 25",22.67,22.67,"Jan 06, 25"
"Jan 07, 25",22.22,22.22,"Jan 07, 25"
"Jan 08, 25",21.00,21.00,"Jan 08, 25"
"Jan 10, 25",22.23,22.23,"Jan 10, 25"
"Jan 13, 25",22.60,22.60,"Jan 13, 25"
"Jan 14, 25",22.53,22.53,"Jan 14, 25"
"Jan 15, 25",22.61,22.61,"Jan 15, 25"
"Jan 16, 25",22.53,22.53,"Jan 16, 25"
"Jan 17, 25",22.83,22.83,"Jan 17, 25"
"Jan 20, 25",22.78,22.78,"Jan 20, 25"
"Jan 21, 25",22.70,22.70,"Jan 21, 25"
"Jan 23, 25",22.37,22.37,"Jan 23, 25"
"Jan 24, 25",22.61,22.61,"Jan 24, 25"
"Jan 27, 25",22.53,22.53,"Jan 27, 25"
"Jan 28, 25",22.61,22.61,"Jan 28, 25"
"Jan 29, 25",22.29,22.29,"Jan 29, 25"
"Jan 30, 25",22.45,22.45,"Jan 30, 25"
"Jan 31, 25",22.56,22.56,"Jan 31, 25"
"Feb 03, 25",22.41,22.41,"Feb 03, 25"
